fold,block,repeat,rmse_increase,base_rmse,rmse_perm,n_test
2,AA requirements,0,0.002404586217913042,0.03767569791551087,0.04008028413342391,90
2,AA requirements,1,0.003664813211195189,0.03767569791551087,0.04134051112670606,90
2,AA requirements,2,0.0035680718085292842,0.03767569791551087,0.041243769724040154,90
2,AA requirements,3,0.004133177480512493,0.03767569791551087,0.04180887539602336,90
2,AA requirements,4,0.00277493248992252,0.03767569791551087,0.04045063040543339,90
2,AA requirements,5,0.0041530357253305936,0.03767569791551087,0.04182873364084146,90
2,AA requirements,6,0.003551674602273694,0.03767569791551087,0.04122737251778456,90
2,AA requirements,7,0.0017196993851139528,0.03767569791551087,0.03939539730062482,90
2,AA requirements,8,0.004030538131550375,0.03767569791551087,0.041706236047061244,90
2,AA requirements,9,0.005071063608595709,0.03767569791551087,0.04274676152410658,90
3,Auxotroph type,0,0.008578101258842386,0.024456179285493023,0.03303428054433541,90
3,Auxotroph type,1,0.009934931079243797,0.024456179285493023,0.03439111036473682,90
3,Auxotroph type,2,0.003761316775560533,0.024456179285493023,0.028217496061053556,90
3,Auxotroph type,3,0.009331781789647508,0.024456179285493023,0.03378796107514053,90
3,Auxotroph type,4,0.008684553563076246,0.024456179285493023,0.03314073284856927,90
3,Auxotroph type,5,0.007169047558747418,0.024456179285493023,0.03162522684424044,90
3,Auxotroph type,6,0.008292007611521695,0.024456179285493023,0.03274818689701472,90
3,Auxotroph type,7,0.009143199093360307,0.024456179285493023,0.03359937837885333,90
3,Auxotroph type,8,0.003735205248225827,0.024456179285493023,0.02819138453371885,90
3,Auxotroph type,9,0.008821948698182955,0.024456179285493023,0.03327812798367598,90
3,Prototroph growth,0,0.0007112891249170181,0.024456179285493023,0.02516746841041004,90
3,Prototroph growth,1,-0.00018307808731156047,0.024456179285493023,0.024273101198181463,90
3,Prototroph growth,2,-0.001278827266703409,0.024456179285493023,0.023177352018789614,90
3,Prototroph growth,3,0.0007559270682253594,0.024456179285493023,0.025212106353718382,90
3,Prototroph growth,4,-0.0019448640433553759,0.024456179285493023,0.022511315242137647,90
3,Prototroph growth,5,0.00023586260076281437,0.024456179285493023,0.024692041886255837,90
3,Prototroph growth,6,-0.001093385847447198,0.024456179285493023,0.023362793438045825,90
3,Prototroph growth,7,0.002009165871234748,0.024456179285493023,0.02646534515672777,90
3,Prototroph growth,8,-0.001182185437438938,0.024456179285493023,0.023273993848054085,90
3,Prototroph growth,9,-0.002936144292213297,0.024456179285493023,0.021520034993279726,90
3,Environment,0,0.006645749381612616,0.024456179285493023,0.03110192866710564,90
3,Environment,1,-0.0009981647110386335,0.024456179285493023,0.02345801457445439,90
3,Environment,2,0.003706268562895458,0.024456179285493023,0.02816244784838848,90
3,Environment,3,0.0007043500430687702,0.024456179285493023,0.025160529328561793,90
3,Environment,4,-0.0007394302391711301,0.024456179285493023,0.023716749046321893,90
3,Environment,5,0.0074553277558697985,0.024456179285493023,0.03191150704136282,90
3,Environment,6,0.000660362839786037,0.024456179285493023,0.02511654212527906,90
3,Environment,7,0.0032062535318677643,0.024456179285493023,0.027662432817360787,90
3,Environment,8,-0.00020590505518520985,0.024456179285493023,0.024250274230307813,90
3,Environment,9,0.006415950329356414,0.024456179285493023,0.030872129614849437,90
3,Species,0,0.017757252429156548,0.024456179285493023,0.04221343171464957,90
3,Species,1,0.009576353577224393,0.024456179285493023,0.034032532862717416,90
3,Species,2,0.01409887949401618,0.024456179285493023,0.0385550587795092,90
3,Species,3,0.011434515511068648,0.024456179285493023,0.03589069479656167,90
