name	short	t0set	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	u
set1IT066	D-Mannose (C)	6/19/2014 Keio_ML9_set1	66	1693675	0	1151420	1141684	200	618.5	313.133296763577	0.312797012506072	0.16047957798095	0.651051691178928	0.645434697320285	0.23698660164317	0.0804210060880413	-0.089554375544702	0.986895468317601	TRUE
set1IT067	D-Galacturonic Acid (C) MOPS	6/19/2014 Keio_ML9_set1	67	1555286	0	1060541	1051356	189	618.5	288.358749314317	0.174441921739932	0.152509322323798	0.652076696579694	0.645434697320285	0.108531773407446	-0.00356448099681937	-0.0164471076647006	2.14290652992252	TRUE
set1IT068	D-Galacturonic Acid (C) MOPS	6/19/2014 Keio_ML9_set1	68	1430170	0	974038	965826	175	618.5	264.900164563906	0.162679817940981	0.161170238181352	0.656515761746189	0.645434697320285	0.144359847712714	0.0388022052858706	-0.0178448340541024	1.35537235011413	TRUE
set1IT069	D-Glucose (C) MOPS	6/19/2014 Keio_ML9_set1	69	1461688	0	997643	989343	163	618.5	271.350246845858	0.1264247209544	0.16444910169139	0.664579668784524	0.645434697320285	0.0614455900992985	0.0158070254738448	-0.000375394790077817	1.62394520975069	TRUE
set1IT070	D-Glucose (C) MOPS	6/19/2014 Keio_ML9_set1	70	1534551	0	1047175	1038375	172	618.5	284.798409215579	0.140548997077095	0.165635265599342	0.658565590761154	0.645434697320285	0.120662623592241	0.0503702209687356	0.0170437795953594	2.02034709001636	TRUE
set1IT071	L-Arginine (N)	6/19/2014 Keio_ML9_set1	71	1491551	0	1037262	1023638	99	618.5	280.756445419638	0.234764951197324	0.234368267530169	0.736965594166206	0.645434697320285	0.162714240041603	-0.0157170366910677	-0.0276341239057773	9.79158622543315	TRUE
set1IT072	L-Arginine (N)	6/19/2014 Keio_ML9_set1	72	1538792	0	1067328	1052971	106.5	618.5	288.801700493692	0.221061412983799	0.246253761446616	0.710493382805015	0.645434697320285	0.171363033067938	0.0569581195005824	-0.0244664245389634	9.66472735591454	TRUE
set1IT073	L-Aspartic Acid (N)	6/19/2014 Keio_ML9_set1	73	1413626	0	961142	952869	169	618.5	261.346407021393	0.288256152385233	0.165948732012882	0.669354688011529	0.645434697320285	0.208779659740207	0.0252496124128097	-0.0777971383899816	2.05569674239369	TRUE
set1IT074	L-Aspartic Acid (N)	6/19/2014 Keio_ML9_set1	74	1272809	0	866258	858763	151	618.5	235.535655512891	0.269316235077591	0.184564820367065	0.683327630564134	0.645434697320285	0.22236513393042	0.0922581757506835	-0.0681225040385133	2.03329355320295	TRUE
set1IT075	L-Serine (N)	6/19/2014 Keio_ML9_set1	75	1394444	0	948976	940699	167	618.5	258.008502468459	0.302860895973327	0.171953697624101	0.661198086548241	0.645434697320285	0.182222222052309	0.0759618524737597	-0.0708275181454073	4.38593024132187	TRUE
set1IT076	L-Serine (N)	6/19/2014 Keio_ML9_set1	76	1580564	0	1075670	1066069	189	618.5	292.394130554032	0.287614053706604	0.170608836869489	0.656045598782639	0.645434697320285	0.259330907516163	0.0130792162756442	-0.0622664104903261	4.30409769470094	TRUE
set1IT077	L-Asparagine (N)	6/19/2014 Keio_ML9_set1	77	1464583	0	994949	986719	173	618.5	270.630554031816	0.305616437100321	0.161965520318839	0.667424660913129	0.645434697320285	0.205495761821437	0.0724246102251794	-0.0957270104136319	1.31314391289327	TRUE
